un. medida,predicted,texto
,,
ampola,"comp,caixa,ampola,grama,frasco,m3,metro,unidade,litro,kg",clindamicina 9 mg ml amp 9 ml hypofarma 9 
ampola,"comp,frasco,unidade,grama,metro,litro,caixa,ampola,kg,rolo",atropina 9 mg sol inj amp 9 ml isofarma p
ampola,"caixa,ampola,m3,grama,litro,conjunto,metro,kg,galao,unidade",clindamicina fosfato 9 mg amp cx 9
ampola,"litro,comp,ampola,metro,unidade,grama,frasco,caixa,conjunto,rolo",hidrocortisona 9 mg injetavel cx 9 ampolas
ampola,"comp,ampola,grama,metro,unidade,kg,caixa,litro,frasco,galao",gentamicina 9 mg 9 ml inj  c 9 amp 
ampola,"litro,ampola,comp,unidade,caixa,grama,metro,conjunto,frasco,m3",ondansetrona 9 mg 9 ml sol inj cx 9 ampolas
ampola,"metro,grama,comp,ampola,kg,conjunto,caixa,m3,unidade,galao",butilbrometo escop 9 mg ml amp g 
ampola,"comp,frasco,ampola,grama,unidade,litro,metro,caixa,conjunto,m3",soro fisio 9 sist fec 9 ml cx 9 amp farmace 
ampola,"litro,comp,unidade,metro,ampola,grama,frasco,caixa,kg,galao",furosemida 9 mg injetavel cx 9 ampolas
ampola,"comp,frasco,grama,metro,ampola,litro,unidade,caixa,rolo,kg",dexametasona 9 mg ml amp x 9 ml cx 9 amp
ampola,"litro,ampola,unidade,comp,grama,metro,frasco,galao,caixa,kg",dipirona sodica injetavel cx 9 ampolas
ampola,"comp,ampola,frasco,grama,caixa,metro,litro,unidade,kg,conjunto",dipirona sodica 9 mg ml 9 ml amp santisa 
ampola,"comp,metro,grama,unidade,caixa,kg,litro,conjunto,ampola,rolo",complexo b im iv inj 9 ml amp
ampola,"comp,ampola,grama,caixa,litro,metro,unidade,frasco,m3,conjunto", flumazenil 9 mg ml amp 9 ml flunexil lote 9 
ampola,"comp,frasco,grama,ampola,metro,unidade,litro,caixa,kg,rolo",heparina sodica 9 ui 9 ml inj  sub 9 amp
ampola,"comp,grama,ampola,unidade,litro,kg,metro,caixa,kit,galao",fenocris 9 mg fenobarbital amp b 9 
ampola,"comp,grama,metro,unidade,litro,conjunto,caixa,ampola,kg,m3",soro fisiologico 9 9 ml c 9 amp
ampola,"ampola,kg,litro,comp,caixa,unidade,grama,kit,metro,galao",clindamicina 9 mg amp  uni o qu mica
ampola,"comp,unidade,frasco,ampola,grama,metro,caixa,litro,conjunto,m3",butilescopolamina dipirona sodica 9 ml cx 9 amp
ampola,"litro,ampola,comp,grama,unidade,metro,caixa,kg,kit,galao",lidocaina 9 s v amp 9 ml hypocaina
ampola,"grama,comp,kg,ampola,metro,unidade,m3,conjunto,litro,frasco",complexo b amp im iv l 9 q 9 f  v 
ampola,"frasco,comp,grama,unidade,metro,caixa,conjunto,kg,litro,ampola",omeprazol 9 mg injetavel cx 9 ampolas cristalia 
ampola,"comp,ampola,metro,grama,litro,conjunto,m3,caixa,unidade,galao",norepinefrina 9 mg ml cx c  9 amp
ampola,"litro,ampola,grama,unidade,comp,galao,frasco,caixa,metro,kg",dipirona sodica 9 mg sol inj amp 9 ml
ampola,"comp,grama,ampola,unidade,metro,kg,caixa,conjunto,m3,litro",dobutamina 9 mg 9 ml amp g 
ampola,"comp,grama,metro,litro,unidade,conjunto,ampola,caixa,kit,m3",furosemida 9 mg inj c 9 amp gen hosp  teuto hospitalar 
ampola,"comp,grama,ampola,frasco,caixa,metro,unidade,litro,m3,conjunto",dobutamina 9 mg inj fr 9 ml dobutamina solucao injetavel 9 mg ampola 9 ml oferecemos c 9 ml 
ampola,"grama,comp,ampola,metro,kg,m3,conjunto,unidade,galao,caixa",ceftriaxona sodica 9 g inj amp g 
ampola,"unidade,comp,ampola,grama,metro,litro,galao,kg,frasco,caixa",agua bidestilada cx c 9 amp x 9 ml farmace lt 9 e 9 fab  val 
ampola,"comp,ampola,caixa,metro,grama,litro,frasco,kg,kit,unidade",succinil colin 9 mg 9 amp
ampola,"comp,unidade,grama,frasco,ampola,metro,caixa,litro,kg,m3",sulfa trimetoprima 9 ml amp neo quimica 
ampola,"comp,ampola,metro,frasco,unidade,grama,litro,caixa,conjunto,kit",sulfato de magnesio a 9 9 ml cx c 9 amp plast 
ampola,"grama,comp,kg,ampola,metro,unidade,m3,conjunto,litro,frasco",complexo b amp im iv l 9 q 9 f  v 
ampola,"comp,metro,grama,ampola,conjunto,galao,kit,unidade,litro,kg",hyplex b inj cx 9 amp complexo b 
caixa,"comp,metro,ampola,litro,unidade,grama,caixa,m3,cilindro,kg",hidralazina 9 mg ml cx 9 amp
caixa,"caixa,comp,conjunto,metro,grama,unidade,m3,litro,kg,frasco",nylon 9 9 c ag 9 cm cx 9
caixa,"frasco,comp,grama,unidade,conjunto,caixa,metro,ampola,m3,litro",omeprazol 9 mg injetavel cx 9 ampolas oprazon 
caixa,"ampola,comp,grama,metro,kit,kg,unidade,litro,frasco,caixa",kabiven peripheral 9 kcal 9 ml cx 9 br 9 lot 9 if 9 val  fab 
caixa,"caixa,unidade,litro,metro,m3,conjunto,comp,grama,cilindro,ampola",luva de procedimento p cx 9
caixa,"comp,frasco,unidade,caixa,grama,ampola,metro,litro,conjunto,rolo",luva procedimento tam  m cx 9 pares medix 
caixa,"comp,unidade,ampola,grama,litro,caixa,frasco,metro,kit,m3",ocitocina 9 ui inj 9 ml cx 9 oxiton 
caixa,"comp,grama,frasco,unidade,caixa,metro,ampola,conjunto,litro,kit",ceftriaxona 9 gr iv im s dil cx  9 f a biochimico 
caixa,"unidade,litro,ampola,metro,comp,grama,kit,caixa,galao,frasco",luva procedimento tam p cx  9 pares
caixa,"m3,unidade,comp,grama,caixa,litro,conjunto,metro,frasco,ampola",benzilpenicilina 9 cx 9
caixa,"caixa,unidade,litro,grama,comp,metro,m3,conjunto,rolo,kg",glyvenol 9 mg drg cx 9 bl x 9
caixa,"comp,caixa,grama,litro,metro,unidade,kg,conjunto,cilindro,ampola",clorpromazina 9 mg bl c 9 cx 9 comp c 9 uniao quimica
caixa,"unidade,litro,comp,ampola,metro,frasco,grama,kit,caixa,conjunto",soro glicosado 9 9 ml cx 9 s fechado
caixa,"grama,caixa,kg,comp,litro,ampola,metro,unidade,frasco,rolo", pentasa 9 mg cx 9 cpr mesalazina ferring
caixa,"litro,unidade,grama,caixa,conjunto,comp,metro,ampola,m3,galao",teicoplanina 9 mg injetavel cx 9
caixa,"caixa,comp,conjunto,metro,grama,unidade,m3,litro,kg,frasco",nylon 9 9 c ag 9 cm cx 9
caixa,"comp,grama,unidade,litro,caixa,metro,kg,frasco,conjunto,rolo",cetoconazol 9 mg cx 9 gen
caixa,"comp,grama,frasco,ampola,caixa,unidade,litro,conjunto,metro,rolo",ceftriaxona 9 g iv im s dil cx 9 amplospec 
caixa,"caixa,unidade,litro,metro,m3,conjunto,comp,grama,cilindro,ampola",luva de procedimento p cx 9
caixa,"comp,grama,unidade,litro,frasco,caixa,m3,conjunto,ampola,metro",metformina 9 mg cx 9
caixa,"comp,unidade,caixa,grama,litro,metro,m3,ampola,conjunto,cilindro",fluoxetina 9 mg cx c 9 c 9             lote 9 valid  9
caixa,"grama,ampola,comp,metro,unidade,m3,caixa,conjunto,litro,kit",lidocaina a 9 s v 9 ml gen cx 9 
caixa,"kg,grama,unidade,m3,litro,caixa,comp,conjunto,galao,metro",caldo knorr carne cxa 9 x 9 9 g
caixa,"frasco,comp,metro,caixa,grama,ampola,litro,unidade,conjunto,rolo",loratadina 9 mg 9 bl x 9 comp cx c 9 comp
caixa,"comp,unidade,caixa,grama,litro,frasco,m3,metro,ampola,conjunto",agulha 9 x 9 cx 9
caixa,"litro,grama,comp,conjunto,metro,unidade,frasco,rolo,ampola,kit",giranda cx 9 tiros ouro
caixa,"ampola,litro,conjunto,caixa,unidade,grama,metro,m3,kg,comp",diclofenaco sodico 9 mg 9 ml cx 9
caixa,"comp,grama,metro,unidade,caixa,conjunto,litro,kg,ampola,cilindro",ceftriaxona 9 gr iv cx 9 fa celltriaxon fab  cellofarm
caixa,"caixa,unidade,litro,m3,metro,conjunto,comp,grama,cilindro,ampola",luva de procedimento g cx 9
caixa,"caixa,unidade,litro,metro,m3,conjunto,comp,grama,cilindro,ampola",luva de procedimento m cx 9
caixa,"m3,conjunto,frasco,grama,comp,litro,unidade,caixa,metro,ampola",cx gordura tigre dn 9
caixa,"comp,caixa,grama,ampola,frasco,metro,litro,unidade,kg,m3",ranitidina 9 mg ml 9 ml cx c 9 hypofarma 
caixa,"comp,unidade,caixa,litro,metro,m3,grama,conjunto,ampola,frasco",tenoxican 9 mg inj cx 9
caixa,"litro,comp,frasco,metro,grama,unidade,ampola,caixa,conjunto,kg",bromazepam 9 mg cx 9 comp g b 9 teuto
caixa,"caixa,unidade,litro,metro,m3,conjunto,comp,grama,cilindro,ampola",luva de procedimento p cx 9
caixa,"unidade,comp,litro,grama,m3,frasco,conjunto,metro,caixa,ampola",agua sanitaria cx c 9
caixa,"m3,caixa,comp,unidade,litro,grama,conjunto,frasco,ampola,kg",ocitocina inj cx 9
caixa,"comp,grama,unidade,caixa,litro,metro,frasco,conjunto,ampola,m3",dexametasona inj 9 mg ml 9 ml cx c  9 lote t 9/9
caixa,"litro,unidade,comp,caixa,metro,conjunto,grama,frasco,ampola,rolo",luva cirurgica esteril n  9 c inmetro antiderrapante cx c 9 marca maxitex
cilindro,"m3,comp,unidade,kg,metro,kit,litro,cilindro,caixa,frasco",oxigenio ppu
cilindro,"unidade,litro,frasco,comp,caixa,grama,m3,metro,ampola,kg",oxig nio med  em cil  9 m 9 9 9 na 9 onu
cilindro,"m3,comp,grama,unidade,caixa,kit,ampola,cilindro,kg,litro",oxigenio medicinal cil pp  
cilindro,"m3,comp,unidade,kg,metro,kit,litro,cilindro,caixa,frasco",oxigenio ppu
cilindro,"m3,comp,grama,unidade,caixa,kit,ampola,cilindro,kg,litro",oxigenio medicinal cil pp  
cilindro,"unidade,comp,litro,frasco,caixa,grama,metro,m3,ampola,kg",oxigenio med  em cil  9 m 9 tq 9 na 9 onu
cilindro,"m3,comp,unidade,kg,metro,kit,litro,cilindro,caixa,frasco",oxigenio ppu
cilindro,"unidade,m3,caixa,frasco,litro,grama,comp,metro,ampola,kg",oxigenio med em cil 9 m 9 tg 9 na un 9
cilindro,"unidade,litro,comp,kg,caixa,frasco,grama,metro,ampola,m3",ar med  cil 9 m 9 om 9 l onu 9 na 9 9
comp,"comp,litro,unidade,grama,conjunto,ampola,metro,caixa,frasco,rolo",enalapril 9 mg cpr
comp,"comp,grama,frasco,ampola,caixa,unidade,litro,metro,m3,kg",diazepam 9 mg cx 9 cpr  uni diazepax b 9 
comp,"comp,ampola,unidade,metro,grama,litro,kg,kit,frasco,caixa",fluoxetina 9 mg cx 9 caps teuto go 
comp,"comp,ampola,litro,metro,unidade,caixa,grama,frasco,conjunto,rolo",fluxon 9 mg c 9 comp neo hosp neo hospitalar 
comp,"comp,grama,unidade,litro,frasco,metro,conjunto,rolo,ampola,caixa",metronidazol 9 mg 9 cpr
comp,"comp,unidade,grama,frasco,litro,metro,ampola,caixa,kg,m3",afolic 9 mg c 9 comp hosp natulab hosp 
comp,"comp,litro,unidade,grama,ampola,conjunto,caixa,frasco,metro,m3",albendazol 9 mg 9 cp
comp,"comp,unidade,litro,metro,grama,caixa,conjunto,frasco,ampola,kg",levonorg etinilest 9 caps
comp,"frasco,grama,comp,caixa,unidade,litro,ampola,metro,rolo,kg",carbamazepina 9 mg c 9 cx 9 comp medley
comp,"comp,ampola,litro,grama,caixa,frasco,unidade,metro,kg,conjunto",hioscina dipirona 9 mg cx 9 comp pharlab 
comp,"comp,litro,unidade,ampola,grama,metro,conjunto,caixa,frasco,m3",furosemida 9 mg 9 cp
comp,"comp,ampola,litro,frasco,grama,unidade,conjunto,caixa,metro,m3",hidroclorotiazida 9 mg cx 9 comp  pharlab 
comp,"grama,kg,comp,litro,ampola,caixa,m3,unidade,conjunto,metro",calcitriol caps 9 mg
comp,"comp,m3,grama,unidade,kg,metro,ampola,kit,caixa,litro",diazepam 9 mg cx 9 comp b 9 
comp,"comp,litro,unidade,conjunto,grama,frasco,m3,ampola,caixa,metro",olcadil 9 mg c 9 cpr
comp,"comp,metro,unidade,grama,ampola,caixa,litro,kg,kit,cilindro",fluconazol 9 mg cmp medqu 
comp,"comp,unidade,metro,grama,litro,ampola,frasco,m3,conjunto,caixa",exodus 9 mg 9 cpr c 9 
comp,"comp,litro,unidade,grama,ampola,conjunto,caixa,metro,frasco,m3",enalapril 9 mg 9 cp
comp,"comp,ampola,metro,litro,unidade,grama,conjunto,frasco,caixa,kg",digoxina 9 mg c 9 comp
comp,"comp,grama,metro,unidade,ampola,m3,kg,litro,conjunto,caixa",depakote er 9 mg 9 cpr c 9 
comp,"unidade,comp,m3,grama,litro,caixa,metro,cilindro,kg,conjunto",omeprazol 9 mg comp lt 9 i 9
comp,"comp,unidade,grama,metro,litro,caixa,frasco,conjunto,rolo,kit",prometazina 9 mg comp teuto 
comp,"comp,grama,unidade,conjunto,litro,ampola,metro,galao,caixa,rolo",predcort 9 mg c 9 comp vitapan 
comp,"comp,grama,ampola,frasco,unidade,caixa,litro,metro,conjunto,kg",clonazepam 9 mg c 9 cpr s zilepam b 9 geolab go 
comp,"grama,conjunto,litro,comp,unidade,galao,metro,ampola,caixa,rolo",9 amitripitilina 9 mg comprimido
comp,"comp,unidade,grama,litro,kg,conjunto,caixa,frasco,metro,kit",captopril 9 mg cprs sanval 
comp,"comp,grama,unidade,metro,frasco,litro,caixa,ampola,conjunto,cilindro",metronidazol 9 mg generico cprs prati donaduzzi pr 
comp,"comp,unidade,litro,grama,frasco,conjunto,ampola,caixa,m3,metro",amiodarona 9 mg 9 cp
comp,"comp,litro,unidade,ampola,grama,metro,caixa,conjunto,frasco,rolo",fluconazol 9 mg 9 cp
comp,"comp,grama,metro,unidade,litro,caixa,conjunto,kg,frasco,ampola",cefalexina 9 mg comp gen
comp,"comp,grama,litro,ampola,unidade,metro,kg,kit,conjunto,caixa",fenocris 9 mg fenobarbital cp b 9 
comp,"comp,ampola,grama,litro,frasco,caixa,unidade,metro,conjunto,kg",dipirona 9 mg apres  cx c 9 cpr sobral pi 
comp,"comp,unidade,litro,metro,grama,caixa,frasco,ampola,kg,m3",sustrate c 9 cp
